# Descriptor tail for the Figure 4 interim plan. FROM BENCHMARK PROPERTIES ONLY; no answer-key input. Rule: population = the 9,167 coordinate-distinct representatives (lexicographically first coreid per group, benchmark/frozen/coord_keys.json), minus the 6 sealed exclusion-set structures; take the 1,000 highest helium void fraction (vf_he), then add every remaining structure with largest cavity diameter d_max > 15 Angstrom. Descriptors from /home1/users/Bei/recon/out/c00-c39.csv (geom.py: vf_he = fraction of cell where a He probe centre fits; d_max = 2*max min_i(|r-r_i|-sigma_i/2)). RECORDED BEFORE ANY RUN. Skip this line.
n,structure_id,vf_he,d_max,selected_by
75,2007[Zn][rob]3[ASR]1,0.426615,9.36558,vf_he_top1000
76,2008[Cd][rho]3[ASR]1,0.314128,16,vf_he_top1000
77,2008[Cd][rho]3[ASR]2,0.311957,16,d_max>15
78,2008[Cd][rho]3[FSR]2,0.311957,16,d_max>15
79,2008[Co][nan]3[ASR]2,0.345778,11.3999,vf_he_top1000
80,2008[Co][pts]3[ASR]1,0.323276,9.29028,vf_he_top1000
81,2008[CuW][acs]3[ASR]1,0.315775,8.06726,vf_he_top1000
82,2008[Cu][nbo]3[ASR]1,0.440121,14.949,vf_he_top1000
83,2008[Cu][nbo]3[ASR]2,0.414646,15.8056,vf_he_top1000
84,2008[Cu][snz]3[ASR]1,0.352554,14.6768,vf_he_top1000
85,2008[Cu][ssa]3[ASR]1,0.315178,9.07045,vf_he_top1000
86,2008[Ga][nan]3[ASR]1,0.328098,13.9969,vf_he_top1000
87,2008[In][nan]3[ASR]1,0.349707,14.1588,vf_he_top1000
88,2008[In][nan]3[FSR]1,0.354075,14.1588,vf_he_top1000
89,2008[Ni][nan]3[ASR]3,0.358222,11.4429,vf_he_top1000
90,2008[ZnPd][nan]3[ASR]1,0.38797,8.66247,vf_he_top1000
91,2008[Zn][ant]3[ASR]1,0.37701,10.4926,vf_he_top1000
92,2008[Zn][nan]3[ASR]14,0.344023,11.1405,vf_he_top1000
93,2008[Zn][nan]3[ASR]15,0.354667,11.775,vf_he_top1000
94,2008[Zn][nan]3[ASR]16,0.342222,11.3496,vf_he_top1000
95,2008[Zn][nan]3[ASR]20,0.356444,11.633,vf_he_top1000
96,2008[Zn][pcu]3[ASR]3,0.363282,10.0822,vf_he_top1000
97,2009[Cd][rho]3[ASR]1,0.3852,16,vf_he_top1000
98,2009[Cu][nbo]3[ASR]1,0.41085,11.6976,vf_he_top1000
99,2009[Cu][nbo]3[ASR]2,0.347821,11.7346,vf_he_top1000
100,2009[Cu][nbo]3[ASR]3,0.408298,10.8443,vf_he_top1000
101,2009[Cu][pts]3[ASR]2,0.584473,10.7262,vf_he_top1000
102,2009[Cu][tbo]3[ASR]1,0.572085,16,vf_he_top1000
103,2009[Cu][tbo]3[ASR]3,0.367494,12.3352,vf_he_top1000
104,2009[Cu][tbo]3[ASR]4,0.368105,12.3393,vf_he_top1000
105,2009[Cu][tbo]3[ASR]5,0.36841,12.3579,vf_he_top1000
106,2009[Cu][tbo]3[ASR]6,0.369632,12.3511,vf_he_top1000
107,2009[Cu][tbo]3[ASR]7,0.368105,12.3305,vf_he_top1000
108,2009[Cu][tbo]3[ASR]8,0.362304,12.4124,vf_he_top1000
109,2009[Cu][tbo]3[ASR]9,0.361083,12.4015,vf_he_top1000
110,2009[Cu][tbo]3[FSR]5,0.361083,12.4015,vf_he_top1000
111,2009[In][rho]3[ASR]1,0.286624,16,d_max>15
112,2009[Mg][lvt]3[ASR]1,0.321814,10.1008,vf_he_top1000
113,2009[Mg][nan]3[ASR]1,0.344222,11.3943,vf_he_top1000
114,2009[Yb][nan]3[ASR]1,0.413647,15.9015,vf_he_top1000
115,2009[ZnSi][pcu]3[ASR]3,0.371255,10.3572,vf_he_top1000
116,2009[Zn][nts]3[ASR]1,0.492688,16,vf_he_top1000
117,2009[Zn][pcu]3[ASR]10,0.452803,12.9469,vf_he_top1000
118,2009[Zn][sqp]3[ASR]1,0.522135,13.8037,vf_he_top1000
119,2010[Ce][pcu]3[ASR]1,0.619693,16,vf_he_top1000
120,2010[Co][lvt]3[ASR]1,0.610976,14.0608,vf_he_top1000
121,2010[Co][nan]3[ASR]3,0.351111,11.5107,vf_he_top1000
122,2010[Co][nts]3[ASR]1,0.462467,16,vf_he_top1000
123,2010[Cr][tbo]3[ASR]2,0.351923,12.3405,vf_he_top1000
124,2010[CuCo][agw]3[ASR]1,0.468322,13.26,vf_he_top1000
125,2010[CuSi][pts]3[ASR]1,0.452003,9.00147,vf_he_top1000
126,2010[Cu][lvt]3[ASR]3,0.608085,14.0276,vf_he_top1000
127,2010[Cu][nan]3[ASR]1,0.444787,11.211,vf_he_top1000
128,2010[Cu][nan]3[ASR]37,0.588058,16,vf_he_top1000
129,2010[Cu][nbo]3[ASR]2,0.461892,11.7291,vf_he_top1000
130,2010[Cu][nbo]3[ASR]3,0.406294,10.8365,vf_he_top1000
131,2010[Cu][nia]3[ASR]1,0.37263,11.7794,vf_he_top1000
132,2010[Cu][nts]3[ASR]1,0.680079,16,vf_he_top1000
133,2010[Cu][nts]3[ASR]2,0.602398,16,vf_he_top1000
134,2010[Cu][ssa]3[ASR]1,0.321547,9.45899,vf_he_top1000
135,2010[Cu][tbo]3[ASR]1,0.371769,12.3932,vf_he_top1000
136,2010[Cu][tbo]3[ASR]2,0.371158,12.4029,vf_he_top1000
137,2010[Cu][wbl]3[ASR]1,0.591518,11.8612,vf_he_top1000
138,2010[Cu][wbl]3[ASR]2,0.645479,13.6886,vf_he_top1000
139,2010[Cu][wbl]3[ASR]3,0.80267,16,vf_he_top1000
140,2010[Dy][pcu]3[ASR]1,0.331876,7.87516,vf_he_top1000
141,2010[Eu][pcu]3[ASR]1,0.437404,7.9954,vf_he_top1000
142,2010[Fe][the]3[ASR]1,0.422633,14.8812,vf_he_top1000
143,2010[MnCr][nod]3[ASR]1,0.469003,9.13699,vf_he_top1000
144,2010[Mn][nan]3[ASR]10,0.340667,11.5977,vf_he_top1000
145,2010[Zn][lvt]3[ASR]1,0.613951,14.2359,vf_he_top1000
146,2010[Zn][lvt]3[ASR]2,0.62785,15.0714,vf_he_top1000
147,2010[Zn][lvt]3[ASR]3,0.610892,14.1087,vf_he_top1000
148,2010[Zn][pts]3[ASR]4,0.615385,13.8797,vf_he_top1000
149,2010[Zn][pyr]3[ASR]1,0.573941,13.1969,vf_he_top1000
150,2010[Zn][rtl]3[ASR]1,0.406586,9.50868,vf_he_top1000
151,2010[Zn][unc]3[ASR]2,0.325285,11.8654,vf_he_top1000
152,2011[Cd][scu]3[ASR]1,0.338648,10.4911,vf_he_top1000
153,2011[Cd][zzz]3[ASR]1,0.426824,12.302,vf_he_top1000
154,2011[CuMo][ths]3[ASR]1,0.380784,10.8824,vf_he_top1000
155,2011[CuW][ths]3[ASR]1,0.379986,11.1925,vf_he_top1000
156,2011[Cu][nts]3[ASR]1,0.467516,16,vf_he_top1000
157,2011[Cu][nts]3[ASR]2,0.372839,15.9934,vf_he_top1000
158,2011[Cu][pto]3[ASR]1,0.634913,16,vf_he_top1000
159,2011[Cu][scu]3[ASR]1,0.413178,13.4747,vf_he_top1000
160,2011[Cu][scu]3[ASR]2,0.39489,11.7516,vf_he_top1000
161,2011[Eu][pcu]3[ASR]1,0.381569,7.97576,vf_he_top1000
162,2011[Mn][zzz]3[ASR]1,0.418783,12.1548,vf_he_top1000
163,2011[Ni][nan]3[ASR]1,0.378825,13.2517,vf_he_top1000
164,2011[U][gfy]3[ASR]1,0.368967,12.6407,vf_he_top1000
165,2011[U][gfy]3[FSR]1,0.315236,10.302,vf_he_top1000
166,2011[Yb][nan]3[ASR]2,0.332874,8.66476,vf_he_top1000
167,2011[Zn][muo]3[ASR]1,0.572156,16,vf_he_top1000
168,2011[Zn][nan]3[ASR]10,0.351023,12.1741,vf_he_top1000
169,2011[Zn][nan]3[ASR]11,0.350883,12.259,vf_he_top1000
170,2011[Zn][nan]3[ASR]20,0.337912,9.29091,vf_he_top1000
171,2011[Zn][pcu]3[ASR]8,0.496619,14.8604,vf_he_top1000
172,2011[Zn][pcu]3[FSR]8,0.529733,14.8604,vf_he_top1000
