# Uniform random sample for the Figure 4 interim plan. seed=20260903; population = 9,167 coordinate-distinct groups of the frozen 12,499 (benchmark/frozen/coord_keys.json); representative = lexicographically first coreid in each group; draw = python random.Random(20260903).sample(sorted(reps), 1500). RECORDED BEFORE ANY RUN. Skip this line.
n,structure_id
153,2007[KCu][nan]3[ION]1
154,2007[Mn][dia]3[ASR]1
155,2007[Mn][nan]3[ASR]1
156,2007[Nd][bcu]3[ASR]1
157,2007[Nd][nan]3[ASR]3
158,2007[Ni][dia]3[ASR]1
159,2007[Ni][dia]3[ASR]2
160,2007[Ni][pcu]3[ASR]3
161,2007[PrSb][dia]3[FSR]1
162,2007[Pr][bnn]3[ASR]1
163,2007[WCu][pcu]3[FSR]1
164,2007[ZnSm][stp]3[FSR]1
165,2007[Zn][nan]3[ASR]2
166,2007[Zn][nan]3[ASR]9
167,2007[Zn][nan]3[FSR]7
168,2007[Zn][ths]3[ASR]1
169,2008[Ag][nan]3[FSR]1
170,2008[BiPr][sra]3[ION]1
171,2008[Cd][nan]3[ASR]2
172,2008[Cd][rho]3[ASR]1
173,2008[Cd][rho]3[ASR]2
174,2008[Cd][rho]3[FSR]2
175,2008[Cd][sxd]3[ASR]1
176,2008[Co][dia]3[ASR]2
177,2008[Co][mog]3[ASR]1
178,2008[Co][pcu]3[ASR]1
179,2008[CuLa][nan]3[ASR]2
180,2008[CuW][acs]3[ASR]1
181,2008[Cu][dia]3[FSR]3
182,2008[Cu][nan]3[ASR]3
183,2008[Cu][nan]3[ASR]4
184,2008[Cu][pcu]3[ASR]1
185,2008[Gd][nan]3[ASR]3
186,2008[Gd][pcu]3[ASR]1
187,2008[In][dia]3[ASR]5
188,2008[In][dia]3[ION]1
189,2008[Mn][etd]3[ION]1
190,2008[Mn][fet]3[FSR]1
191,2008[Mn][nan]3[ASR]2
192,2008[Mn][nan]3[FSR]2
193,2008[Nd][nan]3[ASR]2
194,2008[Nd][nan]3[FSR]2
195,2008[NiMo][nan]3[ASR]1
196,2008[Ni][ins]3[ASR]1
197,2008[Ni][mot]3[FSR]1
198,2008[Ni][nan]3[ASR]3
199,2008[Ni][tfz]3[ASR]1
200,2008[Sm][nan]3[ASR]1
201,2008[UZn][nan]3[ION]1
202,2008[ZnMn][nan]3[ASR]1
203,2008[ZnSi][cds]3[ASR]1
204,2008[ZnSm][nan]3[ASR]1
205,2008[Zn][ant]3[ASR]1
206,2008[Zn][nan]3[ASR]1
207,2008[Zn][nan]3[ASR]7
208,2008[Zn][nan]3[ASR]8
209,2008[Zn][nan]3[FSR]9
210,2008[Zn][pcu]3[ASR]4
211,2008[Zn][pcu]3[ASR]7
212,2008[Zn][pcu]3[FSR]8
213,2008[Zn][sqc]3[ASR]1
214,2008[Zn][srs]3[ASR]1
215,2008[Zn][srs]3[ASR]6
216,2008[Zn][srs]3[ASR]8
217,2008[Zn][ths]3[ASR]1
218,2009[AgHo][nan]3[ASR]1
219,2009[Ag][nbo]3[ION]4
220,2009[Al][bpq]3[ASR]1
221,2009[Cd][dia]3[ASR]4
222,2009[Cd][gpu]3[ASR]1
223,2009[Cd][met]3[ASR]1
224,2009[Cd][nan]3[ASR]1
225,2009[Cd][nan]3[ASR]3
226,2009[Cd][nuc]3[ASR]2
227,2009[Cd][pts]3[ASR]1
228,2009[Cd][rho]3[ASR]1
229,2009[Co][dia]3[ASR]1
230,2009[Co][pcu]3[ASR]3
231,2009[Cu][hex]3[ASR]1
232,2009[Cu][tbo]3[ASR]2
233,2009[Cu][tbo]3[ASR]4
234,2009[Cu][tbo]3[ASR]7
235,2009[ErAg][nan]3[ASR]1
236,2009[Eu][pts]3[FSR]1
237,2009[HoAg][nan]3[ASR]1
238,2009[LaAg][nan]3[ASR]1
239,2009[La][nan]3[ASR]1
240,2009[La][nan]3[ION]1
241,2009[MgIn][rho]3[ION]1
242,2009[Ni][acs]3[ASR]1
243,2009[Ni][pyr]3[ASR]1
244,2009[Ni][tfz]3[ASR]1
245,2009[Sm][pcu]3[ASR]1
246,2009[U][nan]3[FSR]1
247,2009[Yb][rtl]3[ASR]1
248,2009[ZnCd][nan]3[ASR]1
249,2009[ZnPtAu][pth]3[ASR]1
250,2009[Zn][dia]3[ASR]4
251,2009[Zn][dia]3[FSR]2
252,2009[Zn][nan]3[ASR]3
253,2009[Zn][nan]3[ASR]5
254,2009[Zn][npo]3[ASR]1
255,2009[Zn][pcu]3[ASR]6
256,2009[Zn][srs]3[FSR]1
257,2010[AgTb][nan]3[ASR]2
258,2010[Ag][nan]3[ION]1
259,2010[Ag][pts]3[ASR]1
260,2010[Bi][dia]3[ASR]1
261,2010[Cd][dia]3[ASR]5
262,2010[Cd][dia]3[FSR]4
263,2010[Cd][nan]3[ASR]13
264,2010[Cd][nan]3[ASR]8
265,2010[Cd][nan]3[FSR]1
266,2010[Cd][nuc]3[ASR]5
267,2010[Cd][nuc]3[ASR]6
268,2010[Cd][nuc]3[ASR]7
269,2010[Cd][nuc]3[ION]13
270,2010[Cd][nuc]3[ION]7
271,2010[Cd][nuc]3[ION]9
272,2010[Cd][pcu]3[ASR]1
273,2010[Cd][pts]3[ASR]1
274,2010[Cd][sqc]3[ASR]1
275,2010[CoLa][pcu]3[ASR]1
276,2010[Co][lvt]3[ASR]1
277,2010[Co][nan]3[ASR]4
278,2010[Co][nan]3[ASR]6
279,2010[Co][pcu]3[ASR]3
280,2010[Co][tfz]3[ASR]1
281,2010[Cr][bpq]3[ASR]1
282,2010[CuLa][nan]3[ASR]1
