# UNATTESTED and DERIVED. Reconstructed from RASPA output trees in the replicate workspaces on bnode0, read-only, 2026-09-03. Not an extraction from any replicate-authored record; the per-job association does not exist in one. Outside the sealed 16/16 attestation. t_submitted is RASPA's own start, NOT the PBS submit time. Skip this line.
run,job_id,t_submitted,t_completed,accuracy_tier,structure_id,structure_class,init_cycles,production_cycles,id_source,output_path
rep01,,4.056,7.461,low,2018[Cu][fmj]3[ASR]2,retained,2000,10000,underscore form in path,rep01/runs/r1/2018_Cu__fmj_3_ASR_2_/p6500000/Output/System_0/output_frame_2.2.2_298.000000_6.5e+06.data
rep01,,3.693,5.321,low,2013[Cu][nts]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/r1/2013_Cu__nts_3_ASR_1_/p580000/Output/System_0/output_frame_2.2.2_298.000000_580000.data
rep01,,5.322,6.834,low,2013[Cu][nts]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/r1/2013_Cu__nts_3_ASR_1_/p6500000/Output/System_0/output_frame_2.2.2_298.000000_6.5e+06.data
rep01,,3.693,4.713,low,2022[Sc][fmz]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/r1/2022_Sc__fmz_3_ASR_1_/p580000/Output/System_0/output_frame_2.2.2_298.000000_580000.data
rep01,,4.714,5.646,low,2022[Sc][fmz]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/r1/2022_Sc__fmz_3_ASR_1_/p6500000/Output/System_0/output_frame_2.2.2_298.000000_6.5e+06.data
rep01,,3.693,4.770,low,2017[Fe][fmz]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/r1/2017_Fe__fmz_3_ASR_1_/p580000/Output/System_0/output_frame_2.2.2_298.000000_580000.data
rep01,,4.771,5.698,low,2017[Fe][fmz]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/r1/2017_Fe__fmz_3_ASR_1_/p6500000/Output/System_0/output_frame_2.2.2_298.000000_6.5e+06.data
rep01,,3.693,4.725,low,2018[Ni][fmz]3[ASR]2,retained,2000,10000,underscore form in path,rep01/runs/r1/2018_Ni__fmz_3_ASR_2_/p580000/Output/System_0/output_frame_2.2.2_298.000000_580000.data
rep01,,4.725,5.621,low,2018[Ni][fmz]3[ASR]2,retained,2000,10000,underscore form in path,rep01/runs/r1/2018_Ni__fmz_3_ASR_2_/p6500000/Output/System_0/output_frame_2.2.2_298.000000_6.5e+06.data
rep01,,3.694,4.265,low,2019[Cu][nan]3[ASR]8,retained,2000,10000,underscore form in path,rep01/runs/r1/2019_Cu__nan_3_ASR_8_/p580000/Output/System_0/output_frame_2.2.2_298.000000_580000.data
rep01,,4.265,7.085,low,2019[Cu][nan]3[ASR]8,retained,2000,10000,underscore form in path,rep01/runs/r1/2019_Cu__nan_3_ASR_8_/p6500000/Output/System_0/output_frame_2.2.2_298.000000_6.5e+06.data
rep01,,3.748,4.261,low,2018[Cu][iab]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/r1/2018_Cu__iab_3_ASR_1_/p580000/Output/System_0/output_frame_2.2.2_298.000000_580000.data
rep01,,4.261,7.723,low,2018[Cu][iab]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/r1/2018_Cu__iab_3_ASR_1_/p6500000/Output/System_0/output_frame_2.2.2_298.000000_6.5e+06.data
rep01,,3.981,4.492,low,2022[Zn][rtl]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/r1/2022_Zn__rtl_3_ASR_1_/p580000/Output/System_0/output_frame_2.2.2_298.000000_580000.data
rep01,,4.493,8.225,low,2022[Zn][rtl]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/r1/2022_Zn__rtl_3_ASR_1_/p6500000/Output/System_0/output_frame_2.2.2_298.000000_6.5e+06.data
rep01,,4.020,4.565,low,2013[Zn][pcu]3[ASR]6,retained,2000,10000,underscore form in path,rep01/runs/r1/2013_Zn__pcu_3_ASR_6_/p580000/Output/System_0/output_frame_2.2.2_298.000000_580000.data
rep01,,4.566,9.465,low,2013[Zn][pcu]3[ASR]6,retained,2000,10000,underscore form in path,rep01/runs/r1/2013_Zn__pcu_3_ASR_6_/p6500000/Output/System_0/output_frame_2.2.2_298.000000_6.5e+06.data
rep01,,4.059,4.822,low,2023[Cu][nan]3[ASR]6,retained,2000,10000,underscore form in path,rep01/runs/r1/2023_Cu__nan_3_ASR_6_/p580000/Output/System_0/output_frame_2.2.2_298.000000_580000.data
rep01,,4.822,9.477,low,2023[Cu][nan]3[ASR]6,retained,2000,10000,underscore form in path,rep01/runs/r1/2023_Cu__nan_3_ASR_6_/p6500000/Output/System_0/output_frame_2.2.2_298.000000_6.5e+06.data
rep01,,4.215,4.876,low,2019[Cd][tfz]3[ASR]3,retained,2000,10000,underscore form in path,rep01/runs/r1/2019_Cd__tfz_3_ASR_3_/p580000/Output/System_0/output_frame_2.2.2_298.000000_580000.data
rep01,,4.876,8.405,low,2019[Cd][tfz]3[ASR]3,retained,2000,10000,underscore form in path,rep01/runs/r1/2019_Cd__tfz_3_ASR_3_/p6500000/Output/System_0/output_frame_2.2.2_298.000000_6.5e+06.data
rep01,,4.215,4.871,low,2017[Fe][nan]3[ASR]1,excluded,2000,10000,underscore form in path,rep01/runs/r1/2017_Fe__nan_3_ASR_1_/p580000/Output/System_0/output_frame_2.2.2_298.000000_580000.data
rep01,,4.871,8.072,low,2017[Fe][nan]3[ASR]1,excluded,2000,10000,underscore form in path,rep01/runs/r1/2017_Fe__nan_3_ASR_1_/p6500000/Output/System_0/output_frame_2.2.2_298.000000_6.5e+06.data
rep01,,4.215,5.066,low,2024[Zn][pcu]3[ASR]2,retained,2000,10000,underscore form in path,rep01/runs/r1/2024_Zn__pcu_3_ASR_2_/p580000/Output/System_0/output_frame_2.2.1_298.000000_580000.data
rep01,,5.067,6.037,low,2024[Zn][pcu]3[ASR]2,retained,2000,10000,underscore form in path,rep01/runs/r1/2024_Zn__pcu_3_ASR_2_/p6500000/Output/System_0/output_frame_2.2.1_298.000000_6.5e+06.data
rep01,,4.215,4.971,low,2014[Cu][nan]3[ASR]16,retained,2000,10000,underscore form in path,rep01/runs/r1/2014_Cu__nan_3_ASR_16_/p580000/Output/System_0/output_frame_2.2.2_298.000000_580000.data
rep01,,4.972,6.052,low,2014[Cu][nan]3[ASR]16,retained,2000,10000,underscore form in path,rep01/runs/r1/2014_Cu__nan_3_ASR_16_/p6500000/Output/System_0/output_frame_2.2.2_298.000000_6.5e+06.data
rep01,,4.216,5.296,low,2006[Mn][nan]3[ASR]2,retained,2000,10000,underscore form in path,rep01/runs/r1/2006_Mn__nan_3_ASR_2_/p580000/Output/System_0/output_frame_4.4.4_298.000000_580000.data
rep01,,5.297,6.643,low,2006[Mn][nan]3[ASR]2,retained,2000,10000,underscore form in path,rep01/runs/r1/2006_Mn__nan_3_ASR_2_/p6500000/Output/System_0/output_frame_4.4.4_298.000000_6.5e+06.data
rep01,,4.216,5.977,low,2012[Cu][nts]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/r1/2012_Cu__nts_3_ASR_1_/p580000/Output/System_0/output_frame_2.2.2_298.000000_580000.data
rep01,,5.978,7.363,low,2012[Cu][nts]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/r1/2012_Cu__nts_3_ASR_1_/p6500000/Output/System_0/output_frame_2.2.2_298.000000_6.5e+06.data
rep01,,4.325,6.367,low,2019[Zr][sqc]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/r1/2019_Zr__sqc_3_ASR_1_/p580000/Output/System_0/output_frame_2.2.3_298.000000_580000.data
rep01,,6.368,7.991,low,2019[Zr][sqc]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/r1/2019_Zr__sqc_3_ASR_1_/p6500000/Output/System_0/output_frame_2.2.3_298.000000_6.5e+06.data
rep01,,4.345,5.418,low,2018[Ni][fmz]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/r1/2018_Ni__fmz_3_ASR_1_/p580000/Output/System_0/output_frame_2.2.2_298.000000_580000.data
rep01,,5.419,6.333,low,2018[Ni][fmz]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/r1/2018_Ni__fmz_3_ASR_1_/p6500000/Output/System_0/output_frame_2.2.2_298.000000_6.5e+06.data
rep01,,4.378,4.852,low,2019[Tb][urx]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/r1/2019_Tb__urx_3_ASR_1_/p580000/Output/System_0/output_frame_2.2.1_298.000000_580000.data
rep01,,4.853,7.606,low,2019[Tb][urx]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/r1/2019_Tb__urx_3_ASR_1_/p6500000/Output/System_0/output_frame_2.2.1_298.000000_6.5e+06.data
rep01,,4.386,5.924,low,2012[Zn][nts]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/r1/2012_Zn__nts_3_ASR_1_/p580000/Output/System_0/output_frame_2.2.2_298.000000_580000.data
rep01,,5.925,7.127,low,2012[Zn][nts]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/r1/2012_Zn__nts_3_ASR_1_/p6500000/Output/System_0/output_frame_2.2.2_298.000000_6.5e+06.data
rep01,,4.402,5.678,low,2010[Co][nts]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/r1/2010_Co__nts_3_ASR_1_/p580000/Output/System_0/output_frame_2.2.2_298.000000_580000.data
rep01,,5.678,6.823,low,2010[Co][nts]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/r1/2010_Co__nts_3_ASR_1_/p6500000/Output/System_0/output_frame_2.2.2_298.000000_6.5e+06.data
rep01,,4.420,5.087,low,2017[Cu][fog]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/r1/2017_Cu__fog_3_ASR_1_/p580000/Output/System_0/output_frame_2.2.2_298.000000_580000.data
rep01,,5.087,8.864,low,2017[Cu][fog]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/r1/2017_Cu__fog_3_ASR_1_/p6500000/Output/System_0/output_frame_2.2.2_298.000000_6.5e+06.data
rep01,,4.479,5.225,low,2023[Cu][nan]3[ASR]7,retained,2000,10000,underscore form in path,rep01/runs/r1/2023_Cu__nan_3_ASR_7_/p580000/Output/System_0/output_frame_2.2.2_298.000000_580000.data
rep01,,5.225,9.661,low,2023[Cu][nan]3[ASR]7,retained,2000,10000,underscore form in path,rep01/runs/r1/2023_Cu__nan_3_ASR_7_/p6500000/Output/System_0/output_frame_2.2.2_298.000000_6.5e+06.data
rep01,,4.565,4.998,low,2015[Zn][pcu]3[ASR]6,retained,2000,10000,underscore form in path,rep01/runs/r1/2015_Zn__pcu_3_ASR_6_/p580000/Output/System_0/output_frame_2.2.2_298.000000_580000.data
rep01,,4.998,7.096,low,2015[Zn][pcu]3[ASR]6,retained,2000,10000,underscore form in path,rep01/runs/r1/2015_Zn__pcu_3_ASR_6_/p6500000/Output/System_0/output_frame_2.2.2_298.000000_6.5e+06.data
rep01,,4.638,5.381,low,2023[Co][nan]3[ASR]9,retained,2000,10000,underscore form in path,rep01/runs/r1/2023_Co__nan_3_ASR_9_/p580000/Output/System_0/output_frame_2.2.2_298.000000_580000.data
rep01,,5.382,9.802,low,2023[Co][nan]3[ASR]9,retained,2000,10000,underscore form in path,rep01/runs/r1/2023_Co__nan_3_ASR_9_/p6500000/Output/System_0/output_frame_2.2.2_298.000000_6.5e+06.data
rep01,,4.715,5.137,low,2016[Zr][buh]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/r1/2016_Zr__buh_3_ASR_1_/p580000/Output/System_0/output_frame_1.1.1_298.000000_580000.data
rep01,,5.138,9.017,low,2016[Zr][buh]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/r1/2016_Zr__buh_3_ASR_1_/p6500000/Output/System_0/output_frame_1.1.1_298.000000_6.5e+06.data
rep01,,4.871,6.397,low,2023[Zn][hmc]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/r1/2023_Zn__hmc_3_ASR_1_/p580000/Output/System_0/output_frame_2.2.2_298.000000_580000.data
rep01,,6.397,7.420,low,2023[Zn][hmc]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/r1/2023_Zn__hmc_3_ASR_1_/p6500000/Output/System_0/output_frame_2.2.2_298.000000_6.5e+06.data
rep01,,4.927,5.760,low,2023[Cu][nan]3[ASR]8,retained,2000,10000,underscore form in path,rep01/runs/r1/2023_Cu__nan_3_ASR_8_/p580000/Output/System_0/output_frame_2.2.2_298.000000_580000.data
rep01,,5.761,6.627,low,2023[Cu][nan]3[ASR]8,retained,2000,10000,underscore form in path,rep01/runs/r1/2023_Cu__nan_3_ASR_8_/p6500000/Output/System_0/output_frame_2.2.2_298.000000_6.5e+06.data
rep01,,4.961,5.565,low,2012[Ag][srs]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/r1/2012_Ag__srs_3_ASR_1_/p580000/Output/System_0/output_frame_2.2.2_298.000000_580000.data
rep01,,5.565,7.808,low,2012[Ag][srs]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/r1/2012_Ag__srs_3_ASR_1_/p6500000/Output/System_0/output_frame_2.2.2_298.000000_6.5e+06.data
rep01,,4.993,5.258,low,2017[Zn][nan]3[ASR]2,retained,2000,10000,underscore form in path,rep01/runs/r1/2017_Zn__nan_3_ASR_2_/p580000/Output/System_0/output_frame_2.2.1_298.000000_580000.data
rep01,,5.259,7.181,low,2017[Zn][nan]3[ASR]2,retained,2000,10000,underscore form in path,rep01/runs/r1/2017_Zn__nan_3_ASR_2_/p6500000/Output/System_0/output_frame_2.2.1_298.000000_6.5e+06.data
