# UNATTESTED. Workspace file inventory, post-seal read-only. REBUILT 2026-09-03 correcting REPORT 036 section 4 (was 6 runs / 2,037 rows). Skip this line.
run,group,file_path,parent_structure_id,parent_class,transformation,reported_value,reported_uncertainty,accuracy_tier,pristine_parent_measured_same_setting
rep02,U,rep02/mod/1995[Ag][nan]3[ION]1__1of3.cif,1995[Ag][nan]3[ION]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/1996[Zn][dia]3[ASR]1__1of2.cif,1996[Zn][dia]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/1996[Zn][dia]3[FSR]1__1of2.cif,1996[Zn][dia]3[FSR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/1997[Cu][dia]3[ASR]1__1of3.cif,1997[Cu][dia]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/1997[Cu][dia]3[FSR]1__1of3.cif,1997[Cu][dia]3[FSR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/1998[Cu][cds]3[ASR]1__1of2.cif,1998[Cu][cds]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/1999[Ag][ths]3[ASR]1__1of2.cif,1999[Ag][ths]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/1999[Ag][ths]3[FSR]1__1of2.cif,1999[Ag][ths]3[FSR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/1999[Cd][dia]3[ASR]1__1of2.cif,1999[Cd][dia]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/1999[Cd][dia]3[ASR]2__1of2.cif,1999[Cd][dia]3[ASR]2,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2000[Cu][dia]3[FSR]1__1of2.cif,2000[Cu][dia]3[FSR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2000[Zn][pts]3[ASR]1__1of2.cif,2000[Zn][pts]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2001[Cu][cds]3[ASR]1__1of2.cif,2001[Cu][cds]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2001[Cu][cds]3[FSR]1__1of2.cif,2001[Cu][cds]3[FSR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2001[Zn][dia]3[ASR]2__1of2.cif,2001[Zn][dia]3[ASR]2,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2001[Zn][dia]3[FSR]2__1of2.cif,2001[Zn][dia]3[FSR]2,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2001[Zn][sit]3[ASR]1__1of2.cif,2001[Zn][sit]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2002[Cd][dia]3[ASR]1__1of4.cif,2002[Cd][dia]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2002[Cd][dia]3[FSR]1__1of4.cif,2002[Cd][dia]3[FSR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2002[Cu][dia]3[ASR]1__1of2.cif,2002[Cu][dia]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2002[Cu][lvt]3[ASR]1__1of2.cif,2002[Cu][lvt]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2002[Cu][ths]3[FSR]1__1of2.cif,2002[Cu][ths]3[FSR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2003[Co][pts]3[ASR]1__1of2.cif,2003[Co][pts]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2003[Co][pts]3[FSR]1__1of2.cif,2003[Co][pts]3[FSR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2003[Cu][pcu]3[FSR]1__1of2.cif,2003[Cu][pcu]3[FSR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2003[Zn][hex]3[ASR]1__1of2.cif,2003[Zn][hex]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2003[Zn][hex]3[FSR]1__1of2.cif,2003[Zn][hex]3[FSR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2004[Cd][bnn]3[ASR]1__1of4.cif,2004[Cd][bnn]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2004[Cd][bnn]3[FSR]1__1of4.cif,2004[Cd][bnn]3[FSR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2004[Cd][dia]3[ASR]1__1of2.cif,2004[Cd][dia]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2004[Cd][dia]3[FSR]1__1of2.cif,2004[Cd][dia]3[FSR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2004[Co][pcu]3[ASR]1__1of3.cif,2004[Co][pcu]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2004[Cu][dia]3[ASR]1__1of2.cif,2004[Cu][dia]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2004[WCu][dia]3[ION]1__1of4.cif,2004[WCu][dia]3[ION]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2004[Zn][ths]3[ASR]1__1of2.cif,2004[Zn][ths]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2004[Zn][ths]3[FSR]1__1of2.cif,2004[Zn][ths]3[FSR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2005[Ag][dia]3[ASR]1__1of2.cif,2005[Ag][dia]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2005[Ag][dia]3[FSR]1__1of2.cif,2005[Ag][dia]3[FSR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2005[Ag][dia]3[ION]1__1of2.cif,2005[Ag][dia]3[ION]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2005[Cd][cds]3[ASR]1__1of2.cif,2005[Cd][cds]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2005[Cd][cds]3[FSR]1__1of2.cif,2005[Cd][cds]3[FSR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2005[CoAg][utp]3[ASR]1__1of2.cif,2005[CoAg][utp]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2005[Co][srs]3[ASR]1__1of2.cif,2005[Co][srs]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
